cod_ibge;msau39;msau3911;msau3912;msau3913;msau3914;msau3915;msau3916;msau3917;msau3918;mppm01;mppm11;mppm13;mppm20;mppm23
4308003;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4308078;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4308433;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4309308;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
4310009;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não
4310652;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não;Não;Sim
4311122;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4311981;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4312252;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4313086;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4313607;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4314498;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4314548;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4316006;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
4317251;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4317558;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4317954;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4318622;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4318903;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim
4319109;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não
4319307;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4319364;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4320859;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4321105;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
4321303;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4321329;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4322103;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
4322400;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
4322905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5002159;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5004403;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5100102;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
5100409;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5104906;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5106109;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim
5106208;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5106257;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
5106281;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Sim;Não;Não
5106307;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
5107156;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5107263;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Não;Não
5107297;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5200506;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5204557;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5204656;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5206305;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5208905;Não;Não;Não;Não;Não;Não;Não;Não;Não;Sim;Sim;Sim;Não;Sim
5212105;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5212956;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5214838;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5216007;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5216452;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5219100;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
5220264;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não;Não
2102101;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa;Recusa
1100015;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100023;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Sim;Não;Sim;Sim;Sim
1100031;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Não;Não;Não
1100049;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Sim;Não;Sim;Sim;Sim;Sim
1100056;Sim;Sim;Sim;Sim;Sim;Sim;Não;Sim;Não;Não;Não;Sim;Não;Não
