"","mesorregiao","log_emp_mulher","crimes_patrim","crimes_contra_pessoa","escolarid_trab","pib_per_capta","empregos_formais","infra_agua","infra_esgoto","infra_internet","infra_energia","st_agro","st_ind","st_serv","trafico","contrav_penais","eq_orc_mun","rec_proprios","ideb_quinto_ano","ideb_nono_ano","crimes_sex","remun_mediana","sebrae","msau39","mppm01","mppm11","mppm13","mppm20","mppm23"
"1","centro goiano",2.69236503546884,2.65,4.69,7.66,0.93,3.08,6.4,2.98,4.44,7.99,0.04,0.04,0.02,8.18,7.35,4.02,3.96,6.1,4.6,4.01,1.7,"Não","Sim","Não","Não","Não","Não","Não"
"2","Sul goiano",2.41339707019346,5.76,5.86,5.14,1.46,1.87,4.97,2.52,2.99,4.33,1.8,0.07,0.07,3.79,6.44,3.97,3.46,6.2,5.4,6.67,2.66,"Sim","Sim","Sim","Não","Não","Não","Não"
"3","leste goiano",1.8833842877146,4.3,6.57,8.07,0.07,0.64,5.72,0.18,2.91,4.75,0.02,0.2,0.26,8.07,8.81,3.71,3.25,5.6,4.4,7.16,1.02,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"4","leste goiano",2.35183111326247,4.88,7.39,8.16,3.23,2.75,5.3,0,2.37,4.42,0.38,0.22,0.31,7.66,8.49,3,3.54,5.5,4.9,5.6,1.48,"Sim","Sim","Não","Não","Sim","Não","Não"
"5","norte goiano",2.51651198920333,7.36,6.96,7.77,4.42,4.54,6.34,0,1.34,4.22,0.08,0.36,0.03,7.41,7.43,4.03,1.63,6.6,5.3,9.15,2.91,"Sim","Sim","Não","Não","Não","Não","Não"
"6","centro goiano",2.06244396531126,8.56,8.59,6.26,0.44,0.87,6.94,0,2.23,4.93,0.24,0.01,0.01,10,8.04,4.63,0.29,5.7,5.8,8.37,0.46,"Sim","Sim","Não","Não","Não","Não","Não"
"7","centro goiano",2.47300900587296,4.88,7.02,8.16,1.98,3.54,6.22,4.41,5.61,5.53,0.42,5.7,2.07,8.3,3.86,3.12,5.83,6.3,5.4,7.49,2.6,"Sim","Sim","Sim","Não","Sim","Sim","Sim"
"8","centro goiano",2.28496349164423,8.02,8.35,3.62,0.81,1.82,5.64,3.07,2.29,3.79,0.75,0.13,0.04,9.18,8.28,2.88,2.88,7.4,5.9,8.42,1.34,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"9","centro goiano",2.15244881759609,3.62,7.3,6.52,1.07,2.77,3.45,2.07,7.07,4.77,0.08,3.79,2.13,7.85,8.65,4.35,4.73,5.6,4.6,8.22,2.12,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"10","noroeste goiano",2.12653314921369,3.91,7.32,7.56,0.24,0.69,6.8,0,3.08,4.77,0.07,0.02,0.04,2.66,7.48,4.1,0.89,6.2,4.7,9.51,1.74,"Sim","Sim","Não","Não","Não","Não","Não"
"11","centro goiano",2.29939608011111,4.19,5.25,5.22,0.2,1.16,4.95,0,1.49,5.99,0.08,0.02,0.01,7.86,8.28,3.47,3.99,5.3,4.2,6.98,1.24,"Sim","Sim","Não","Não","Não","Não","Sim"
"12","centro goiano",2.31623998970399,5.03,5.94,5.92,1.52,2.69,5.43,3.83,4.75,5.13,1.12,0.32,0.09,7.58,5.98,3.93,3.61,5.8,5.2,6.21,2.13,"Sim","Sim","Não","Não","Não","Não","Não"
"13","Sul goiano",2.34164018839273,6.84,7.52,3.05,1.77,1.72,5.49,7.65,4.04,4.51,2.4,0.07,0.09,8.75,6.55,2.33,4.32,6.3,5.2,7.34,2.2,"Sim","Sim","Não","Não","Não","Não","Sim"
"14","centro goiano",2.20226488267018,5.5,6.05,5.22,0.04,0.87,7.24,0,2.68,5.26,0.05,0.01,0.01,9.01,7.71,3.58,2.14,5.7,5.3,9.46,1.24,"Sim","Sim","Não","Não","Não","Não","Não"
"15","Sul goiano",2.50181764017186,7.91,7.43,4.41,3.28,3.39,5.25,6.66,3.82,3.72,0.87,0.7,0.05,8.44,6.26,3.41,4.17,6.2,5.5,8.39,3.15,"Sim","Sim","Não","Não","Não","Não","Não"
"16","Sul goiano",2.83683099096814,4.51,6.82,5.35,1.36,3.89,4.23,3.31,5.29,9.71,1.05,0.66,0.4,6.09,7.53,3.32,5.21,5.9,5.2,6.93,1.88,"Sim","Sim","Não","Não","Não","Não","Sim"
"17","Sul goiano",2.68795996954751,6.88,7.18,2.76,3.44,2.9,5.23,0,2.35,3.5,1.85,0.03,0.03,5.82,5.17,3.29,4.56,6.1,4.9,6.56,2.84,"Sim","Sim","Não","Não","Não","Não","Sim"
"18","norte goiano",2.44219553169495,7.14,6.93,7.72,0.36,1.45,6.93,6.17,3.51,4.16,0.12,0.02,0.04,4.88,7.02,3.4,3.51,5.3,4.7,8.52,1.19,"Sim","Sim","Não","Não","Não","Não","Não"
"19","norte goiano",2.89647731545865,9.39,4.72,8.08,0.32,1.72,9.08,0,2.99,6.89,0.07,0,0,10,7.46,3.46,1.1,5.7,5.6,8.6,0.59,"Sim","Sim","Não","Não","Não","Não","Não"
"20","Sul goiano",2.65789456938942,4.73,6.75,8.53,3.63,3.27,4.82,3.45,7.07,5.46,2.84,2.78,0.73,6.64,7.39,3.95,4.3,6.6,5.3,8.9,3.03,"Sim","Sim","Sim","Não","Não","Não","Sim"
"21","centro goiano",2.59351567940166,6.89,7.47,8.75,1.08,3.09,7.67,7.18,6.05,5.39,0.09,0.1,0.1,7.04,4.28,3.43,2.67,6.8,5.6,6.25,1.9,"Sim","Sim","Sim","Não","Sim","Não","Não"
"22","leste goiano",2.2615444776707,5.33,5.41,7.43,0.23,0.73,8.12,3.26,4.47,5.56,0.12,0.19,0.1,8.97,7.95,4.92,3.55,5,4.5,7.06,1.8,"Sim","Sim","Sim","Não","Não","Não","Sim"
"23","leste goiano",2.31545354012877,5.16,6.46,3.21,2.47,3.22,3.38,1.61,4.17,2.53,6.91,0.43,0.25,9.03,6.84,4.18,3.36,5.7,5,6.89,2.62,"Sim","Sim","Não","Não","Não","Não","Não"
"24","noroeste goiano",2.1364627979519,8.39,8.61,4.18,0.58,1.25,1.87,0.03,0.53,2.31,0.36,0,0.01,9.15,8.59,3.55,1.65,5.5,5.5,7.19,1.31,"Sim","Sim","Não","Não","Não","Não","Não"
"25","leste goiano",2.31947221256266,3.18,5.52,7.12,0.78,1.93,5.46,5.28,4.25,4.17,0.99,0.39,0.38,8.04,7.11,4.19,3.93,5.2,4.2,6.99,1.74,"Sim","Sim","Não","Não","Não","Sim","Sim"
"26","Sul goiano",2.30942662481076,7.02,5.68,5.45,0.9,1.32,7.09,0,7.24,4.52,0.15,0.04,0.01,7.88,6.15,10,2.32,6.5,5.3,6.51,1.74,"Sim","Sim","Não","Não","Não","Não","Não"
"27","centro goiano",2.40366478019672,5.57,4.96,5.61,0.79,2.92,4.94,6.28,4.82,4.69,0.94,0.36,0.19,6.9,7.11,4.63,5.23,7.1,5.8,6.66,1.9,"Sim","Sim","Não","Não","Sim","Não","Sim"
"28","centro goiano",2.39284807134896,0.63,6.34,8.88,1.75,5.68,6.55,6.33,10,5.75,0.28,10,10,8.2,5.22,2.15,10,5.9,5.3,8.4,3.03,"Sim","Sim","Sim","Sim","Sim","Sim","Sim"
"29","noroeste goiano",2.29749390842959,5.58,6.58,5.28,0.67,2.03,7.14,4.41,5.76,4.68,0.69,0.04,0.06,6.68,5.41,4.05,1.17,6.5,5.7,7.78,1.92,"Sim","Não","Sim","Sim","Sim","Não","Sim"
"30","Sul goiano",2.48695392833772,6.84,7.16,3.12,2.52,3.86,6.52,3.91,4.76,5.05,3.17,0.38,0.19,5.49,6.14,2.68,3.57,5.9,5.1,8.58,3.61,"Sim","Sim","Não","Não","Não","Não","Sim"
"31","centro goiano",2.180644047189,8.98,8.19,3.96,0.47,1.2,5.74,0.01,4.27,4.11,0.15,0,0,10,7.97,4.16,0,6.6,5.1,10,0.59,"Sim","Sim","Não","Não","Não","Não","Não"
"32","Sul goiano",2.29159047949295,7.07,6.28,6.4,1.03,2.46,6.33,0,2.62,4.32,0.6,0.08,0.04,0,5.67,4.02,4.1,6.1,4.7,7.1,2.45,"Sim","Sim","Não","Não","Não","Não","Não"
"33","centro goiano",2.39295819021126,6.3,7.77,3.96,0.81,2.66,6.32,5.85,5.26,5.11,1.04,0.26,0.15,7.44,8.61,3.39,3.73,6.3,5.5,9.16,1.54,"Sim","Sim","Não","Não","Não","Não","Sim"
"34","Sul goiano",2.4505165721982,6.49,6.54,2.52,2.61,2.52,6.79,0,6.29,3.93,2.85,0.51,0.1,6.21,6.14,3.69,3.67,6.3,5.2,8.35,2.27,"Sim","Sim","Não","Não","Não","Não","Não"
"35","centro goiano",2.57251026357489,6.71,7.43,7.6,0.75,1.97,8.59,3.53,5.13,5.97,0.38,0.1,0.11,6.22,5.44,3.11,3.77,6.9,5.7,8.18,2.16,"Sim","Sim","Não","Não","Não","Não","Sim"
"36","centro goiano",2.42136630946842,5.79,7.02,3.95,1.34,3.13,5.56,4.23,2.69,4.68,1.14,0.35,0.15,7.51,1.08,3.72,3.24,6.9,5.2,8.56,1.25,"Sim","Sim","Sim","Não","Não","Não","Não"
"37","Sul goiano",2.67705157920253,5.59,6.25,5.64,2.34,3.85,6.27,8.01,8.94,5.29,2.5,1.91,0.6,5.55,6.18,2.41,4.01,7,5.8,6.99,2.52,"Sim","Sim","Não","Não","Sim","Não","Sim"
"38","Sul goiano",2.26287764339893,8.08,8.26,2.86,2.4,3.84,5.75,0,2.63,3.94,0.72,0.1,0.02,7.15,5.93,3.55,3.05,6.6,5.3,6.88,3.6,"Sim","Sim","Não","Não","Não","Não","Não"
"39","centro goiano",2.33540234439584,6.31,7.5,3.22,0.42,1.47,5.62,1.97,2.53,4.06,0.59,0.11,0.1,7.71,8.49,3.16,3.57,6.6,5.5,7.66,1.75,"Sim","Sim","Sim","Não","Não","Não","Não"
"40","Sul goiano",2.49903547728141,5.69,6.93,3.66,2.42,2.94,6.57,6.22,7.48,5.03,7.49,1.2,0.55,6.08,7.09,3.68,4.69,5.8,5.5,8.6,3.03,"Sim","Sim","Não","Não","Sim","Não","Sim"
"41","noroeste goiano",2.72344107281281,7.22,6.2,6.54,1.05,2.37,6,6.25,5.53,4.76,0.93,0.03,0.06,7.84,7.4,3.1,4.55,6.5,5.6,7.97,1.78,"Sim","Sim","Não","Não","Não","Não","Não"
"42","leste goiano",2.19216437355213,4.26,6.43,7.09,0.71,1.33,3.83,1.11,3.92,2.21,2.56,1.37,0.44,7.82,7.61,4.72,4.23,5.7,5.2,7.37,1.97,"Sim","Sim","Não","Não","Sim","Não","Sim"
"43","norte goiano",2.11471199954388,6.47,6.75,8.97,1.75,1.14,5.73,3.85,3.43,4.05,0.29,0.89,0.07,9.13,7.96,3.88,3.61,6.2,5,9.05,2.09,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"44","Sul goiano",2.52087996037403,4.69,6.36,3.26,2.07,3.88,4.21,5.52,5.27,5.16,3.69,0.71,0.3,6.47,6.26,3.71,4.96,6.5,5.7,8.12,2.98,"Sim","Sim","Não","Não","Não","Não","Sim"
"45","Sul goiano",2.39750206474309,6.29,6.45,4.17,1.43,2.95,7.46,6.14,4.21,5.13,2.04,0.36,0.16,3.76,7.92,3.2,4.82,6.6,5.1,7.63,2.3,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"46","norte goiano",2.10831120267625,6.84,7.74,6.25,0.92,1.45,4.42,2.48,1.43,3.61,0.92,0.41,0.1,8.96,7.75,2.81,2.24,5.8,5.2,7.65,2.11,"Sim","Sim","Não","Não","Sim","Não","Sim"
"47","centro goiano",1.90742935454474,8.63,7.76,4.61,0.54,2.47,5.12,0,1,3.39,0.08,0,0,10,7.1,4.1,0.57,5.8,6,7.94,0.85,"Sim","Sim","Não","Não","Não","Não","Não"
"48","noroeste goiano",1.91902482027393,8.38,7.68,4.33,0.67,1.48,4.56,0,1.04,3.14,0.24,0,0,7.96,5.96,3.83,1.68,4.9,4.9,5.53,1.74,"Sim","Sim","Sim","Não","Não","Não","Sim"
"49","Sul goiano",2.10934148737551,7.53,6.7,4.7,1.7,2.12,6.48,0,4.38,4.42,0.25,0.01,0.01,9.19,7.06,3.95,2.57,7,4.9,6,1.8,"Sim","Sim","Não","Não","Não","Não","Não"
"50","Sul goiano",2.17853244432407,7.79,6.84,2.16,9.05,7.78,4.92,0,1.96,3.37,1.39,0.22,0.02,8.1,7.18,3.87,1.1,6.6,6.2,8.44,4.73,"Sim","Não","Não","Não","Não","Não","Não"
"51","Sul goiano",2.33733280607668,5.44,6.78,3.09,1.59,1.76,6.23,7.06,3.08,4.17,2.24,0.1,0.08,6.56,8.32,2.95,4.98,6.2,5,8.05,2.24,"Sim","Sim","Não","Não","Não","Não","Não"
"52","noroeste goiano",2.31427041326491,6.77,4.42,2.76,1.73,1.68,7.26,0,5,4.97,0.6,0.09,0.05,7.85,3.7,3.46,3.99,6.2,5,7.35,2.27,"Sim","Sim","Não","Não","Não","Não","Não"
"53","leste goiano",2.45840960657911,5.04,4.63,7.21,0.47,2.14,5.93,0,4.53,3.84,0.51,0.03,0.05,7.35,3.73,0,1.96,5.6,4.9,6.44,1.52,"Sim","Sim","Não","Não","Não","Não","Sim"
"54","Sul goiano",2.44011073179092,4.81,6.85,4.66,1.28,3.17,7.66,3,6.87,5.15,0.56,0.24,0.13,7.32,6.59,4.68,3.02,5.8,5.1,7.8,1.29,"Sim","Sim","Sim","Não","Não","Não","Não"
"55","Sul goiano",2.46702907868059,7.69,6.41,2.7,1.24,2.06,6.63,7.45,2.07,4.77,1.21,0.07,0.05,8.51,7.98,4.52,1.21,6,5.6,8.91,1.23,"Sim","Sim","Não","Não","Não","Não","Não"
"56","norte goiano",2.27275086362793,5.67,5.35,7.58,0.8,2.04,5.96,0,3.96,4.24,0.79,0.16,0.14,6.98,6.12,3.5,4.03,5.5,5.1,7.62,1.38,"Sim","Sim","Sim","Não","Não","Não","Sim"
"57","Sul goiano",2.64146861138326,6.79,7.55,1.49,3.86,2.24,7.5,0,4.41,4.72,1.17,0.02,0.01,8.41,5.55,6.2,1.89,6.1,4.7,8.7,2.63,"Sim","Sim","Não","Não","Não","Não","Não"
"58","leste goiano",2.22671826358762,8.08,7.11,8.17,0.4,1.39,4.92,5.03,1.54,3.34,0.23,0.06,0.08,8.66,8.39,5.27,3.38,6.5,5.6,7.24,1.25,"Sim","Sim","Sim","Não","Não","Não","Não"
"59","Sul goiano",2.2142573337864,5.17,6.84,4.66,1.82,3.35,5.57,7.47,5.47,4.77,2.24,0.7,0.19,7.17,6.83,3.16,5.79,6.7,5.7,8.89,3.6,"Sim","Sim","Não","Não","Não","Não","Não"
"60","Sul goiano",2.44454717657301,3.58,5.3,5.68,2.26,3.67,5.11,3.9,6.05,4.21,10,2.65,1.24,7.58,7.21,3.7,4.58,7.1,5.5,7.64,2.96,"Sim","Sim","Sim","Sim","Sim","Não","Sim"
"61","centro goiano",2.38828986737241,7,6.9,4.83,0.94,2.64,6.51,7.46,3.04,4.83,0.38,0.16,0.05,6.72,4.75,3.71,2.95,7.2,6,8.29,2.81,"Sim","Sim","Não","Não","Não","Não","Não"
"62","Sul goiano",2.0496670129786,5.75,6.05,3.94,1.94,2.31,3.59,0,1.24,1.18,0.56,0.01,0,10,7.11,3.89,1.52,5.5,5.2,10,1.12,"Sim","Sim","Não","Não","Não","Não","Não"
"63","Sul goiano",2.53778736062838,6.22,7.28,4.13,1.37,2.34,6.5,7.94,5.36,4.88,1.84,0.28,0.13,6.85,5.77,3.82,3.75,6.1,5.1,7.85,1.96,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"64","Sul goiano",2.32260931918547,7.84,8.34,2.65,0.78,1,7.01,0,2.27,4.3,0.3,0.01,0.02,7.45,5.44,4.05,1.3,6,5.7,9.4,2.89,"Sim","Sim","Não","Não","Não","Não","Não"
"65","centro goiano",2.01319215613864,8.66,7.07,4.54,0.6,1.43,6.72,0,2.01,5.21,0.1,0,0,10,7.4,3.97,2.13,6.9,5.5,10,1.24,"Sim","Sim","Não","Não","Não","Não","Não"
"66","centro goiano",3.56037740989442,8.23,7.94,7.16,1.06,4.9,7.01,0,3.88,6.11,0.09,0.08,0.01,8.96,9.15,3.07,4.28,6.3,5.2,9.15,2.32,"Sim","Sim","Não","Não","Não","Não","Não"
"67","leste goiano",1.83600337427687,6.02,6.15,7.92,0.06,1,4.01,3.38,3.2,3.53,0.11,0.06,0.08,8.17,8.58,3.83,1.92,4.6,4.2,7.34,1.49,"Sim","Sim","Não","Não","Sim","Não","Sim"
"68","centro goiano",2.45744861590721,7.67,7.91,7.92,1.16,2.35,7.5,6.53,3.96,5.28,0.32,0.32,0.12,7.21,4.51,3.05,4.8,6.4,5.3,8.82,1.74,"Sim","Sim","Não","Não","Sim","Não","Não"
"69","Sul goiano",2.38621237199943,6.49,7.78,3.2,1.74,2.21,5.41,0,4.01,3.35,0.6,0.01,0.01,9.26,8.78,4.08,2.67,4.7,4.8,5.15,0.95,"Sim","Não","Não","Não","Não","Não","Não"
"70","Sul goiano",2.31572523495368,6.66,6.27,5.08,8.12,2.32,5.1,6.07,7.64,4.48,0.18,3.09,0.06,7.72,6.25,3.93,1.27,6.4,5.2,7.26,2.54,"Sim","Sim","Não","Não","Não","Não","Não"
"71","Sul goiano",2.38555524403517,6.95,8.05,4.53,1.63,2.22,5.24,5.67,3.24,3.7,1.82,0.05,0.08,7.09,7.6,3.2,5.27,6.1,5.5,8.09,1.8,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"72","Sul goiano",2.92330638758325,3.37,5.33,4.85,0.54,2.1,10,0,2.38,9.8,0.05,0,0,7.95,4.59,4.39,1.47,6.5,5.4,8.32,1.74,"Sim","Sim","Não","Não","Não","Não","Não"
"73","centro goiano",2.22078632430905,4.67,6.75,6.36,0.62,1.57,6.63,4.18,5.29,5.56,0.33,0.8,0.27,8.08,8.33,3.89,4.49,5.8,5.2,7.61,1.91,"Sim","Sim","Sim","Não","Sim","Não","Sim"
"74","centro goiano",2.40897494482099,7.36,3.79,6.21,0.76,1.28,6.55,0,3.11,4.44,0.32,0.01,0.01,9.38,7.16,4.22,0.84,6.3,5.6,1.91,0.94,"Sim","Sim","Não","Não","Não","Não","Não"
"75","norte goiano",2.54027345883437,4.52,7.78,8.19,0.8,1.99,6.66,4.64,3.86,5.23,0.49,0.13,0.14,6.73,6.91,2.94,3.64,6.4,5.2,7.92,1.78,"Sim","Sim","Não","Não","Sim","Não","Sim"
"76","leste goiano",2.36919817753858,3.71,5.9,8.86,0.51,1.25,6.4,2.58,5.16,5.43,0,0.44,0.44,8.37,7.3,4.25,5.14,5.2,4.4,6.98,2.08,"Sim","Sim","Sim","Não","Sim","Sim","Sim"
"77","Sul goiano",2.48673453437371,4.61,6.93,2.72,1.42,2.18,5.53,0,3.41,3.96,1.01,0.04,0.05,7.6,5.76,3.04,3.78,6.4,5.4,8.21,2.09,"Sim","Sim","Sim","Não","Não","Não","Não"
"78","leste goiano",1.71523596911838,6.93,5.18,2.28,2.13,2.29,1.66,0,0,0.92,1.05,0.02,0.01,0,7.75,0,0.66,7,5.4,5.69,1.64,"Sim","Sim","Não","Não","Não","Não","Não"
"79","leste goiano",1.94986059412822,6.33,7.14,9.21,0.58,1.59,2.9,3.75,1.32,2.06,0.33,0.02,0.05,7.29,8.16,3.93,2.81,5.2,5.2,6.6,1.53,"Não","Sim","Sim","Não","Não","Não","Sim"
"80","centro goiano",2.04988273943829,8.68,7.74,3.73,0.35,1.87,7.13,0.01,1.76,4.65,0.06,0,0,10,8.47,4.5,0.18,4.7,4.9,6.19,1.48,"Não","Sim","Não","Não","Não","Não","Não"
"81","leste goiano",1.7658578317054,9.01,8.19,5.88,3,2.2,3.82,0,0.59,1.74,1.44,0.02,0.01,10,8.42,3.94,0.99,5.3,5.5,8.26,2.35,"Não","Sim","Sim","Sim","Não","Não","Sim"
"82","Sul goiano",1.83122369028785,8.28,8.16,1.92,1.03,2.93,6.72,0,1.91,5.24,0.12,0,0,8.49,9.5,3.85,0.17,5.9,6.1,7.52,0.55,"Não","Sim","Não","Não","Não","Não","Não"
"83","Sul goiano",2.2452842391567,7.82,6.38,4.15,0.79,1.49,8.08,0,1.44,5.73,0.08,0,0,8.56,8.58,4.21,1.46,6.9,5.6,10,1.32,"Não","Não","Não","Não","Não","Não","Não"
"84","norte goiano",3.41627868787938,0,0,7.01,0.99,2.45,7.32,0,6.72,3.96,0.37,0.01,0.02,3.26,3.98,4.64,3.26,4.9,4.5,3.48,1.32,"Não","Sim","Não","Não","Não","Não","Não"
"85","leste goiano",2.49107171049921,6.84,4.96,7.62,0.4,1.49,6.57,0.22,2.63,4.09,0.12,0.01,0.02,7.24,5.8,3.56,1.92,5.5,5.1,7.74,1.27,"Não","Sim","Não","Não","Não","Não","Não"
"86","norte goiano",1.59601489210196,9.17,8.32,4.66,0.44,0.86,1.92,0,1.35,1.16,0.19,0,0,10,8.95,4.46,0.26,6,5,10,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"87","centro goiano",2.00592284473468,8.22,7.17,4.59,0.59,1.2,7.21,0,0.82,3.81,0.18,0,0,9.13,6.27,3.69,0.75,6.9,5.3,10,1.8,"Não","Sim","Não","Não","Não","Não","Não"
"88","Sul goiano",2.2197490874149,7.61,8.49,5.52,0.48,2.03,9.42,0,6.59,6.38,0.01,0,0,10,6.51,3.35,2.06,0,0,5.65,2.79,"Não","Sim","Não","Não","Não","Não","Não"
"89","Sul goiano",2.55309984110439,7.75,6.73,4.16,1.55,4.24,8.7,10,2.27,4.92,0.26,0,0,6.46,7.66,3.26,2.71,5.6,4.7,10,1.34,"Não","Sim","Não","Não","Não","Não","Não"
"90","Sul goiano",3.34403896782221,7.74,6.78,0.04,4.69,3.71,6.43,0,1.06,3.68,0.85,0.19,0.01,6.4,3.59,4.6,3,7.1,5.7,8.82,3.6,"Não","Sim","Não","Não","Não","Não","Não"
"91","centro goiano",2.37887968958701,9.13,8.25,5.02,0.45,1.57,8.03,0,3.42,5.91,0.11,0.01,0,7.62,8.95,3.44,2,6.9,5.3,8.69,0.76,"Não","Sim","Sim","Não","Não","Não","Sim"
"92","noroeste goiano",2.12375504903132,7.97,5.66,4.87,0.51,1.26,5.12,4.19,1.79,3.82,0.31,0.01,0.01,9.24,7.63,4.14,0.99,5.7,4.8,4.41,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"93","noroeste goiano",2.27719585898923,7.72,6.67,4.48,1.65,2.65,6.98,0,3.64,4.51,0.38,0.01,0,10,3.08,4.29,2.72,5.8,5.4,6.72,2.12,"Não","Sim","Não","Não","Não","Não","Não"
"94","noroeste goiano",2.38835555509301,5.73,3.53,3.37,0.76,1.51,7.27,3.13,3.09,6.26,0.44,0.01,0.02,7.05,1.46,4.51,4.19,7.4,5.2,5.69,2.61,"Não","Sim","Não","Não","Não","Não","Não"
"95","centro goiano",2.11801381646608,8.11,5.71,4.1,0.61,1.36,7.68,0,3.79,5.2,0.14,0,0,10,5.15,4.13,1.24,6.4,5.5,1.47,1.7,"Não","Sim","Não","Não","Não","Não","Não"
"96","centro goiano",2.33682811641626,8.13,7.87,2.2,0.78,2.03,7.61,0.01,3.1,4.96,0.15,0,0,7.62,6.86,4.35,0.34,6.8,5.6,4.13,0.39,"Não","Sim","Não","Não","Não","Não","Não"
"97","noroeste goiano",1.32318543279191,8.48,8.44,3.89,0.59,0.44,1.44,0,0,0.7,0.3,0,0,9.36,8.31,3.49,2.52,0,0,7.89,2.09,"Não","Sim","Não","Não","Não","Não","Não"
"98","centro goiano",2.28496349164423,6.55,6.5,8.37,4.98,4.18,5.3,0,1.73,2.99,0.31,0.72,0.05,7.42,8.49,3.36,9.1,6.4,5.3,6.7,3.65,"Não","Sim","Não","Não","Não","Não","Não"
"99","noroeste goiano",2.15065601919021,6.56,7.42,6.61,0.62,0.9,5.78,0,2.48,4.17,0.41,0.01,0.01,8.66,5.7,3.32,2.66,6.2,5.3,8.35,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"100","norte goiano",1.97015326590984,9.52,8.47,2.52,1.06,1.81,1.68,0,1.04,1.19,0.41,0,0,9.28,8.33,4.77,1.74,5.8,4.4,10,2.95,"Não","Sim","Não","Não","Não","Não","Não"
"101","centro goiano",2.47500983923242,7.01,6.77,7.18,1.73,1.81,8.68,0,4.33,4.68,0.08,0.08,0.01,6.69,7.82,4.11,1.07,5.5,5,7.28,1.68,"Não","Sim","Não","Não","Não","Não","Não"
"102","noroeste goiano",2.34578117714898,6.47,7.21,1.86,0.74,1.95,6.7,6.83,3.39,5.07,0.3,0.01,0.01,8.98,7.47,3.97,0.28,5.9,5.6,7.48,2.12,"Não","Sim","Não","Não","Sim","Não","Não"
"103","Sul goiano",2.48824555105351,7.06,6.68,3.21,1.71,3.4,9.27,1.47,4.75,7.11,0.74,0.08,0.03,5.32,5.57,3.57,2.88,6.6,6,8.97,2.12,"Não","Sim","Não","Não","Não","Não","Sim"
"104","centro goiano",2.16756025090316,9.12,8.5,5.94,0.48,2.34,9.32,0,1.69,4.87,0.06,0,0,10,7.34,3.72,1.64,6.7,6.1,8.11,0.05,"Não","Sim","Não","Não","Não","Não","Não"
"105","leste goiano",1.54921905244105,8.12,6.58,8.24,1.23,0.88,4.25,0,0.4,2.91,0.03,0.08,0,10,7.69,3.4,1.91,0,5,2.8,2.23,"Não","Sim","Não","Não","Não","Não","Não"
"106","leste goiano",2.09091270713076,5.93,7.1,5.02,1.91,1.48,5.44,0,2.19,3.58,1.24,0.03,0.02,8.12,7.77,4.53,2.07,5,4.4,10,1.74,"Não","Sim","Não","Não","Não","Não","Não"
"107","Sul goiano",2.29135427771005,7.79,7.33,4.39,1.01,2.48,5.3,0,1.69,3.81,0.51,0.06,0.03,2.54,5.9,3.93,1.75,5.5,5.2,9.18,2.68,"Não","Sim","Não","Não","Sim","Não","Não"
"108","centro goiano",2.0383464137322,8.2,6.24,4.04,0.72,2.51,4.52,0.06,2.56,5.46,0.06,0,0,7.9,6.54,3.95,1.82,6.8,5.6,6.55,1.94,"Não","Sim","Não","Não","Não","Não","Não"
"109","Sul goiano",2.32767601498757,7.33,5.6,4.99,7.62,3.84,4.86,4.46,6.78,3.83,0.63,1.06,0.02,7.16,7.54,4.09,4.05,6.5,5.2,7.08,5.86,"Não","Sim","Não","Não","Não","Não","Sim"
"110","Sul goiano",2.13229550747273,7.16,7.71,4.49,1.93,1.47,5.81,6.41,1.4,3.44,2.79,0.05,0.05,7.26,6.44,3.82,1.95,6.1,5.4,7.35,3.13,"Não","Sim","Não","Não","Não","Não","Não"
"111","centro goiano",1.741400677286,6.82,8.03,3.93,0.33,1.37,4.76,0,1.17,4.2,0.08,0,0,9.19,10,4.53,0.43,5.4,5.5,7.35,1.31,"Não","Não","Não","Não","Não","Não","Não"
"112","Sul goiano",2.12094127258659,7.93,6.32,4.6,0.43,1.31,4.74,0,1.08,3.33,0.11,0,0,10,8.1,4.18,0.31,6.7,5.5,8.65,1.89,"Não","Sim","Não","Não","Não","Não","Não"
"113","norte goiano",2.40156370330637,7.32,7.7,6.16,0.6,1.18,6.21,0,4.42,4.89,0.24,0.02,0.03,9.52,8.32,3.94,2.33,6.3,5.4,8.01,1.32,"Não","Sim","Não","Não","Não","Não","Não"
"114","centro goiano",1.92795352665547,8.59,7.22,4.41,0.27,2.32,4.93,0,0.51,3.88,0.09,0.02,0.01,9.59,7.99,4.15,1.02,5.3,4.5,8.66,1.2,"Não","Sim","Não","Não","Não","Não","Não"
"115","centro goiano",2.021602939387,7.07,7.61,6.99,1.3,1.53,5.77,0,2.08,4.38,0.34,0.16,0.02,9.09,7.41,3.63,2.72,6.2,5.2,8.51,1.94,"Não","Sim","Não","Não","Não","Não","Não"
